algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,41,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_041.joblib,-102.40527092675991,148.87514818893922,7.635244688845301,11.642202189885055,5.227823069565762,8.436111776323267,-1.9732294020505663,-1.351530167539258,2.296397932472087,1.4899367911373496,0.8103705848413922,0.549531620417937,relu,0.001,"(50, 50)",0.001,5000,0.001,19
mlp,42,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_042.joblib,-99.06555860659088,150.38075593517777,7.635244688845301,11.642202189885055,5.227823069565762,8.436111776323267,-1.9732294020505663,-1.351530167539258,2.296397932472087,1.4899367911373496,0.8103705848413922,0.549531620417937,relu,0.001,"(50, 50)",0.001,10000,0.0001,20
mlp,40,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_040.joblib,-99.06555860659088,150.38075593517777,7.635244688845301,11.642202189885055,5.227823069565762,8.436111776323267,-1.9732294020505663,-1.351530167539258,2.296397932472087,1.4899367911373496,0.8103705848413922,0.549531620417937,relu,0.001,"(50, 50)",0.001,5000,0.0001,21
mlp,43,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_043.joblib,-102.40527092675991,148.87514818893922,7.635244688845301,11.642202189885055,5.227823069565762,8.436111776323267,-1.9732294020505663,-1.351530167539258,2.296397932472087,1.4899367911373496,0.8103705848413922,0.549531620417937,relu,0.001,"(50, 50)",0.001,10000,0.001,22
mlp,95,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_095.joblib,-77.35673438863238,77.02213250287025,2.4552960387708387,13.900279078821333,1.7217093260461354,5.834930602740774,-0.1161973246406329,-4.595890510312816,7.141118561882426,1.2478990726882888,0.9803904551829203,0.3578432144576794,tanh,0.001,"(50, 50)",0.01,10000,0.001,23
mlp,93,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_093.joblib,-77.35673438863238,77.02213250287025,2.4552960387708387,13.900279078821333,1.7217093260461354,5.834930602740774,-0.1161973246406329,-4.595890510312816,7.141118561882426,1.2478990726882888,0.9803904551829203,0.3578432144576794,tanh,0.001,"(50, 50)",0.01,5000,0.001,24
mlp,92,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_092.joblib,-77.35673438863238,77.02213250287025,2.1077450923803385,14.058904539142972,1.4263708053188668,5.625844644781765,0.07834347317063407,-4.343317400240937,8.318634061001022,1.2338191303791994,0.9855490645860406,0.34310342031536456,tanh,0.001,"(50, 50)",0.01,5000,0.0001,25
mlp,94,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_094.joblib,-77.35673438863238,77.02213250287025,2.1077450923803385,14.058904539142972,1.4263708053188668,5.625844644781765,0.07834347317063407,-4.343317400240937,8.318634061001022,1.2338191303791994,0.9855490645860406,0.34310342031536456,tanh,0.001,"(50, 50)",0.01,10000,0.0001,26
mlp,5,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_005.joblib,-85.89854853395967,28.448981547179216,8.818916809861946,14.40660531040264,6.833964959810978,11.611607706514636,-2.8095256112268143,-4.8932012917363705,1.9881761553500021,1.204041132441128,0.7470176175538938,0.31020927115385166,relu,0.0001,"(50,)",0.01,5000,0.001,27
mlp,6,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_006.joblib,-78.04604348063138,39.02853683968066,8.818916809861946,14.40660531040264,6.833964959810978,11.611607706514636,-2.8095256112268143,-4.8932012917363705,1.9881761553500021,1.204041132441128,0.7470176175538938,0.31020927115385166,relu,0.0001,"(50,)",0.01,10000,0.0001,28
mlp,7,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_007.joblib,-85.89854853395967,28.448981547179216,8.818916809861946,14.40660531040264,6.833964959810978,11.611607706514636,-2.8095256112268143,-4.8932012917363705,1.9881761553500021,1.204041132441128,0.7470176175538938,0.31020927115385166,relu,0.0001,"(50,)",0.01,10000,0.001,29
