algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol
mlp,15,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_015.joblib,4.154354079711156,4.064105764360724,6.0343189541355375,3.3343026142417793,3.617298807056017,5.323583011213516,1.1948859257628062,0.03027104984459404,-0.12729661329478148,4.26418804451361,4.207835181788391,2.599547162756965,0.945004481163757,0.9435215773450658,0.8520194634074573,relu,0.0001,"(100,)",0.01,10000,0.001
mlp,16,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_016.joblib,5.704564252535197,7.2492559824986165,8.125323266842965,4.461364209909896,6.159747723450122,6.302539521806304,2.5139336246460453,0.3077931585485926,5.356013236203758,3.1053988026356008,2.359012739938007,1.9305689387652494,0.8963032279475417,0.8203035790067905,0.7316946262327675,relu,0.0001,"(50, 50)",0.001,5000,0.0001
mlp,17,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_017.joblib,5.704564252535197,7.2492559824986165,8.125323266842965,4.461364209909896,6.159747723450122,6.302539521806304,2.5139336246460453,0.3077931585485926,5.356013236203758,3.1053988026356008,2.359012739938007,1.9305689387652494,0.8963032279475417,0.8203035790067905,0.7316946262327675,relu,0.0001,"(50, 50)",0.001,5000,0.001
mlp,18,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_018.joblib,5.704564252535197,7.2492559824986165,8.125323266842965,4.461364209909896,6.159747723450122,6.302539521806304,2.5139336246460453,0.3077931585485926,5.356013236203758,3.1053988026356008,2.359012739938007,1.9305689387652494,0.8963032279475417,0.8203035790067905,0.7316946262327675,relu,0.0001,"(50, 50)",0.001,10000,0.0001
mlp,19,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_019.joblib,5.704564252535197,7.2492559824986165,8.125323266842965,4.461364209909896,6.159747723450122,6.302539521806304,2.5139336246460453,0.3077931585485926,5.356013236203758,3.1053988026356008,2.359012739938007,1.9305689387652494,0.8963032279475417,0.8203035790067905,0.7316946262327675,relu,0.0001,"(50, 50)",0.001,10000,0.001
mlp,20,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_020.joblib,5.156184728560559,5.7341247731206595,7.457578150387129,4.544816114822478,4.9704265676728125,6.2466439870924395,3.873852626385536,1.1448849212952719,5.491141543489078,3.435669575850533,2.982336083433217,2.1034304166935636,0.9152817020587601,0.8875688031576104,0.7739816498049795,relu,0.0001,"(50, 50)",0.01,5000,0.0001
mlp,21,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_021.joblib,5.156184728560559,5.7341247731206595,7.457578150387129,4.544816114822478,4.9704265676728125,6.2466439870924395,3.873852626385536,1.1448849212952719,5.491141543489078,3.435669575850533,2.982336083433217,2.1034304166935636,0.9152817020587601,0.8875688031576104,0.7739816498049795,relu,0.0001,"(50, 50)",0.01,5000,0.001
mlp,22,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_022.joblib,5.156184728560559,5.7341247731206595,7.457578150387129,4.544816114822478,4.9704265676728125,6.2466439870924395,3.873852626385536,1.1448849212952719,5.491141543489078,3.435669575850533,2.982336083433217,2.1034304166935636,0.9152817020587601,0.8875688031576104,0.7739816498049795,relu,0.0001,"(50, 50)",0.01,10000,0.0001
mlp,23,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_023.joblib,5.156184728560559,5.7341247731206595,7.457578150387129,4.544816114822478,4.9704265676728125,6.2466439870924395,3.873852626385536,1.1448849212952719,5.491141543489078,3.435669575850533,2.982336083433217,2.1034304166935636,0.9152817020587601,0.8875688031576104,0.7739816498049795,relu,0.0001,"(50, 50)",0.01,10000,0.001
mlp,24,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_1a_derivada/mlp_model_024.joblib,3.616542682607599,5.318735943389797,5.928363453994897,2.8701943282047195,4.423045777010366,4.78969459980874,0.48625489216916873,-0.7358927824596683,1.1865111753817363,4.898309947943936,3.2152540377642804,2.6460079308772952,0.9583219419318731,0.9032681674494322,0.8571705654464526,relu,0.001,"(50,)",0.001,5000,0.0001
