algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,35,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_035.joblib,-110.29277570024126,180.7752958460236,2.344581324302351,2.840318131743379,1.8099282580855478,2.3496291698830696,-0.159406111885824,-1.0572887974615734,7.603002943369512,5.485045500207677,0.9827006540881672,0.9667616443144833,relu,0.001,"(100,)",0.001,10000,0.001,35
mlp,33,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_033.joblib,-110.29277570024126,180.7752958460236,2.344581324302351,2.840318131743379,1.8099282580855478,2.3496291698830696,-0.159406111885824,-1.0572887974615734,7.603002943369512,5.485045500207677,0.9827006540881672,0.9667616443144833,relu,0.001,"(100,)",0.001,5000,0.001,36
mlp,93,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_093.joblib,-535.0372308780989,612.098049586151,1.9197009034885015,3.1072310150160987,1.4960232493698793,2.56779977462218,-0.21568726707627578,-0.25187813884870663,9.28574793982053,5.013877021820529,0.988402450929782,0.9602211114135473,tanh,0.001,"(50, 50)",0.01,5000,0.001,37
mlp,95,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_095.joblib,-535.0372308780989,612.098049586151,1.9197009034885015,3.1072310150160987,1.4960232493698793,2.56779977462218,-0.21568726707627578,-0.25187813884870663,9.28574793982053,5.013877021820529,0.988402450929782,0.9602211114135473,tanh,0.001,"(50, 50)",0.01,10000,0.001,38
mlp,92,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_092.joblib,-534.6744689281575,612.4135051895055,1.7875745120161601,3.169202972875784,1.222752010881687,2.6215095906576598,-0.2747024583211409,-0.5524922173584125,9.972092681907077,4.915833514298525,0.989943950845861,0.958618553471216,tanh,0.001,"(50, 50)",0.01,5000,0.0001,39
mlp,94,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_094.joblib,-534.6744689281575,612.4135051895055,1.7875745120161601,3.169202972875784,1.222752010881687,2.6215095906576598,-0.2747024583211409,-0.5524922173584125,9.972092681907077,4.915833514298525,0.989943950845861,0.958618553471216,tanh,0.001,"(50, 50)",0.01,10000,0.0001,40
mlp,54,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_054.joblib,-56.583741281852895,47.375646957461335,3.7415437755407464,3.9828362506170083,3.061160265406854,3.088516753795044,-2.7285466103114193,-1.932862956325043,4.764305799699933,3.9116029902720215,0.9559444384092539,0.9346432480110463,tanh,0.0001,"(50,)",0.01,10000,0.0001,41
mlp,52,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_052.joblib,-56.583741281852895,47.375646957461335,3.7415437755407464,3.9828362506170083,3.061160265406854,3.088516753795044,-2.7285466103114193,-1.932862956325043,4.764305799699933,3.9116029902720215,0.9559444384092539,0.9346432480110463,tanh,0.0001,"(50,)",0.01,5000,0.0001,42
mlp,20,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_020.joblib,-34.132567156139636,38.97893373144534,2.620299079346839,4.052955571963653,1.9316696209032975,3.389637629431316,-1.2927369001927724,-2.585772707124573,6.8029862889099695,3.843929179842737,0.9783926847322961,0.9323217306283189,relu,0.0001,"(50, 50)",0.01,5000,0.0001,43
mlp,21,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_021.joblib,-34.132567156139636,38.97893373144534,2.620299079346839,4.052955571963653,1.9316696209032975,3.389637629431316,-1.2927369001927724,-2.585772707124573,6.8029862889099695,3.843929179842737,0.9783926847322961,0.9323217306283189,relu,0.0001,"(50, 50)",0.01,5000,0.001,44
