algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,24,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_024.joblib,-151.11378120605633,88.23068562636124,4.582109172220245,7.392448929701698,2.7801458124121137,4.8656898737482015,-0.22966104859720124,-1.5185717195605213,3.896454182873243,2.1580411112756726,0.9341340663633867,0.7852760081860626,relu,0.001,"(50,)",0.001,5000,0.0001,17
mlp,25,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_025.joblib,-151.11378120605633,88.23068562636124,4.582109172220245,7.392448929701698,2.7801458124121137,4.8656898737482015,-0.22966104859720124,-1.5185717195605213,3.896454182873243,2.1580411112756726,0.9341340663633867,0.7852760081860626,relu,0.001,"(50,)",0.001,5000,0.001,18
mlp,26,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_026.joblib,-151.11378120605633,88.23068562636124,4.582109172220245,7.392448929701698,2.7801458124121137,4.8656898737482015,-0.22966104859720124,-1.5185717195605213,3.896454182873243,2.1580411112756726,0.9341340663633867,0.7852760081860626,relu,0.001,"(50,)",0.001,10000,0.0001,19
mlp,27,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_027.joblib,-151.11378120605633,88.23068562636124,4.582109172220245,7.392448929701698,2.7801458124121137,4.8656898737482015,-0.22966104859720124,-1.5185717195605213,3.896454182873243,2.1580411112756726,0.9341340663633867,0.7852760081860626,relu,0.001,"(50,)",0.001,10000,0.001,20
mlp,0,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_000.joblib,-151.11382678959498,88.23071406771763,4.582110696731957,7.392449165568174,2.7801468676432863,4.865689688719054,-0.22965823570624316,-1.5185692035108136,3.89645288648596,2.158041042420339,0.9341340225349225,0.7852759944839206,relu,0.0001,"(50,)",0.001,5000,0.0001,21
mlp,1,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_001.joblib,-151.11382678959498,88.23071406771763,4.582110696731957,7.392449165568174,2.7801468676432863,4.865689688719054,-0.22965823570624316,-1.5185692035108136,3.89645288648596,2.158041042420339,0.9341340225349225,0.7852759944839206,relu,0.0001,"(50,)",0.001,5000,0.001,22
mlp,2,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_002.joblib,-151.11382678959498,88.23071406771763,4.582110696731957,7.392449165568174,2.7801468676432863,4.865689688719054,-0.22965823570624316,-1.5185692035108136,3.89645288648596,2.158041042420339,0.9341340225349225,0.7852759944839206,relu,0.0001,"(50,)",0.001,10000,0.0001,23
mlp,3,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_003.joblib,-151.11382678959498,88.23071406771763,4.582110696731957,7.392449165568174,2.7801468676432863,4.865689688719054,-0.22965823570624316,-1.5185692035108136,3.89645288648596,2.158041042420339,0.9341340225349225,0.7852759944839206,relu,0.0001,"(50,)",0.001,10000,0.001,24
mlp,11,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_011.joblib,-139.77845135672763,79.82258775936566,4.555540206148176,8.267523446396396,3.5689618114977004,6.1372604722169655,-0.29519265903919534,-3.240295119129992,3.919179206537048,1.929623642041887,0.9348956877512425,0.7314316834394904,relu,0.0001,"(100,)",0.001,10000,0.001,25
mlp,10,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_010.joblib,-139.77845135672763,79.82258775936566,4.555540206148176,8.267523446396396,3.5689618114977004,6.1372604722169655,-0.29519265903919534,-3.240295119129992,3.919179206537048,1.929623642041887,0.9348956877512425,0.7314316834394904,relu,0.0001,"(100,)",0.001,10000,0.0001,26
mlp,9,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_009.joblib,-139.77845135672763,79.82258775936566,4.555540206148176,8.267523446396396,3.5689618114977004,6.1372604722169655,-0.29519265903919534,-3.240295119129992,3.919179206537048,1.929623642041887,0.9348956877512425,0.7314316834394904,relu,0.0001,"(100,)",0.001,5000,0.001,27
mlp,8,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_008.joblib,-139.77845135672763,79.82258775936566,4.555540206148176,8.267523446396396,3.5689618114977004,6.1372604722169655,-0.29519265903919534,-3.240295119129992,3.919179206537048,1.929623642041887,0.9348956877512425,0.7314316834394904,relu,0.0001,"(100,)",0.001,5000,0.0001,28
mlp,35,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_035.joblib,-139.77826736639418,79.82241708800606,4.555535502720967,8.267525025782106,3.568957581818686,6.137262049278394,-0.29519823210867807,-3.2403015335210736,3.919183252949178,1.9296232734164525,0.9348958221867746,0.7314315808276249,relu,0.001,"(100,)",0.001,10000,0.001,29
mlp,34,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_034.joblib,-139.77826736639418,79.82241708800606,4.555535502720967,8.267525025782106,3.568957581818686,6.137262049278394,-0.29519823210867807,-3.2403015335210736,3.919183252949178,1.9296232734164525,0.9348958221867746,0.7314315808276249,relu,0.001,"(100,)",0.001,10000,0.0001,30
mlp,33,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_033.joblib,-139.77826736639418,79.82241708800606,4.555535502720967,8.267525025782106,3.568957581818686,6.137262049278394,-0.29519823210867807,-3.2403015335210736,3.919183252949178,1.9296232734164525,0.9348958221867746,0.7314315808276249,relu,0.001,"(100,)",0.001,5000,0.001,31
mlp,32,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/savitzkygolay_2a_derivada/mlp_model_032.joblib,-139.77826736639418,79.82241708800606,4.555535502720967,8.267525025782106,3.568957581818686,6.137262049278394,-0.29519823210867807,-3.2403015335210736,3.919183252949178,1.9296232734164525,0.9348958221867746,0.7314315808276249,relu,0.001,"(100,)",0.001,5000,0.0001,32
