algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol
mlp,11,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_011.joblib,2.358709007581867,8.310790185799988,6.865636349307902,1.6737194676287837,6.5404772468634835,4.941975498398428,-0.39357105975503115,2.744964957411397,3.1928362728467263,7.507447273835661,1.9835027111458594,2.3814640379397582,0.982257475300152,0.7458240806017606,0.8236757908541671,relu,0.0001,"(100,)",0.001,10000,0.001
mlp,12,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_012.joblib,3.024290294132234,11.123050550549843,9.142510500902914,2.3035531005828966,8.528005332324287,6.116643175930809,0.7372805228859303,2.3511209426870403,4.4045874105617155,5.8552195016130435,1.4820102444363883,1.7883781551942464,0.9708315307078923,0.54470006474772,0.6873335467350106,relu,0.0001,"(100,)",0.01,5000,0.0001
mlp,13,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_013.joblib,3.024290294132234,11.123050550549843,9.142510500902914,2.3035531005828966,8.528005332324287,6.116643175930809,0.7372805228859303,2.3511209426870403,4.4045874105617155,5.8552195016130435,1.4820102444363883,1.7883781551942464,0.9708315307078923,0.54470006474772,0.6873335467350106,relu,0.0001,"(100,)",0.01,5000,0.001
mlp,14,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_014.joblib,3.024290294132234,11.123050550549843,9.142510500902914,2.3035531005828966,8.528005332324287,6.116643175930809,0.7372805228859303,2.3511209426870403,4.4045874105617155,5.8552195016130435,1.4820102444363883,1.7883781551942464,0.9708315307078923,0.54470006474772,0.6873335467350106,relu,0.0001,"(100,)",0.01,10000,0.0001
mlp,15,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_015.joblib,3.024290294132234,11.123050550549843,9.142510500902914,2.3035531005828966,8.528005332324287,6.116643175930809,0.7372805228859303,2.3511209426870403,4.4045874105617155,5.8552195016130435,1.4820102444363883,1.7883781551942464,0.9708315307078923,0.54470006474772,0.6873335467350106,relu,0.0001,"(100,)",0.01,10000,0.001
mlp,16,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_016.joblib,1.6072027735408891,8.186890831578815,6.430538415799394,1.1533467630173189,6.155962504153707,4.792426718172272,-0.09642975455777353,4.0403997262657425,3.27038632782206,11.01782786855774,2.0135207863911018,2.5425967479297364,0.991762260888319,0.7533462257904098,0.8453161312124493,relu,0.0001,"(50, 50)",0.001,5000,0.0001
mlp,17,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_017.joblib,2.636063792112342,9.232187108191727,8.546376406993279,2.0627336536155907,7.1712975915387585,6.293662487110173,-0.3104728256226342,3.93516170817878,3.3076021287558683,6.717547413582259,1.7855438448243741,1.9131226247032342,0.9778395528576346,0.6863401271334718,0.7267788062313875,relu,0.0001,"(50, 50)",0.001,5000,0.001
mlp,18,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_018.joblib,1.6072027735408891,8.186890831578815,6.430538415799394,1.1533467630173189,6.155962504153707,4.792426718172272,-0.09642975455777353,4.0403997262657425,3.27038632782206,11.01782786855774,2.0135207863911018,2.5425967479297364,0.991762260888319,0.7533462257904098,0.8453161312124493,relu,0.0001,"(50, 50)",0.001,10000,0.0001
mlp,19,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_019.joblib,2.636063792112342,9.232187108191727,8.546376406993279,2.0627336536155907,7.1712975915387585,6.293662487110173,-0.3104728256226342,3.93516170817878,3.3076021287558683,6.717547413582259,1.7855438448243741,1.9131226247032342,0.9778395528576346,0.6863401271334718,0.7267788062313875,relu,0.0001,"(50, 50)",0.001,10000,0.001
mlp,20,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/baseline_correction/mlp_model_020.joblib,4.353739285256375,13.429872054280878,13.154283627747986,3.3766042213636602,9.95701248915133,9.991403249296676,1.5496187340746657,7.647373758294387,6.64128764167578,4.067281559258401,1.227448392558894,1.24296134446722,0.9395506654029439,0.3362668376209982,0.3527310783942712,relu,0.0001,"(50, 50)",0.01,5000,0.0001
